A11:Subject Knowledge,A12:Teaching Methods – Theoretical Knowledge,A13:Teaching Methods – Practical Application,A14:Information Literacy and Management,A15:Languages,A16:Academic Literacy and Numeracy,A21:Analyzing,A22:Synthesizing,A23:Critical Thinking,A24:Evaluating,A25:Problem Solving,A31:Inquiring Mind,A32:Intellectual Insight,A33:Innovation,A34:Argument Construction,B11:Enthusiasm,B12:Perseverance,B13:Integrity,B14:Responsibility,B21:Preparation and Prioritization,B22:Commitment to Teaching,B23:Time Management,B24:Responsiveness to Change,B31:Continuing Professional Development,B32:Student Feedback,B33:Networking,B34:Reputation and Esteem,"C11:Ethics, Principles, and Sustainability",C12:Intellectual Property Rights and Copyright,C21:Research Strategy,C31:Income and Funding Generation,D11:Team Working,D12:People Management,D13:Supervision,D14:Mentoring,D15:Influence and Leadership,D16:Collaboration,D17:Equality and Diversity,D21:Communication Methods,D22:Communication Media,D23:Publication,D31:Teaching,D32:Policy,FDP_need
6.696689868,2.508975408,1.280345585,6.769007272,2.187531785,8.739765109,8.396862355,7.295294423,2.64668144,4.451037789,8.224281985,5.831187439,8.690432498,7.015569512,3.562918763,3.254369295,9.978743281,8.238878914,5.552127033,5.05815184,7.189553211,8.393645032,1.841272795,4.770929465,5.541227083,9.740373545,6.847889772,3.004015514,1.483639156,5.429063796,5.142093865,8.475591654,4.536805387,6.050302841,7.652160092,9.583855746,8.690749592,8.618116512,7.528641252,9.603702515,4.25772052,9.1406959,1.220328022,1
1.619760362,2.524741147,7.923407587,5.587355966,1.583501673,8.102333449,2.065697209,4.073591653,9.63763211,3.186675463,1.152670361,1.670297905,8.546312819,8.428491593,1.564829676,4.850017394,3.103677285,4.485679517,5.046926596,7.630185473,5.77043292,6.004558634,7.114426551,6.492834935,4.674251399,4.647186895,7.116969481,3.094548935,9.360283045,9.927980357,2.911228555,7.51357792,5.349461407,1.916338334,9.467453592,5.514450058,3.742485345,5.73288972,6.356930584,4.311047955,2.949171008,1.419443909,7.468326971,0
4.570826974,2.722323454,2.003668553,6.057968963,4.965849657,4.358136546,6.186630579,7.374208473,5.766527162,9.29558462,2.834667411,5.113924168,7.180207219,9.75703451,6.989546307,9.632022287,1.229873154,6.609533753,7.937774442,6.563014767,1.027317558,9.895096856,6.655779779,8.301210471,2.396152684,8.196175624,9.736975907,4.525795084,6.862363515,1.248867826,5.039763965,2.649526505,3.84935369,7.70101253,6.668310098,2.763703105,7.036703279,7.143599518,7.903260509,6.839788371,2.851014341,7.936607869,9.615700716,1
9.114398706,9.162324126,9.456415891,1.412275086,1.567952176,4.938772359,7.638683264,8.535268053,1.108379063,1.676114206,8.404744735,1.989787031,8.597694452,8.919671676,8.099283472,3.205240111,1.561292558,8.922121057,9.086309138,4.703090711,1.126038511,8.615923836,1.569018599,9.763356178,7.547312103,1.84528009,8.729048249,9.007263737,9.549942531,5.643237326,5.7838719,4.360719057,1.38387276,8.79840823,3.221414693,6.514949647,1.807669167,2.785609617,4.06037174,9.26172709,8.604016902,9.108337495,9.42127626,1
1.602180587,9.717032827,9.898015087,5.327532498,5.61830778,5.333297565,9.657641946,8.957342257,7.666458087,4.353991387,7.739861513,5.704851138,7.25876269,9.304801682,1.882162022,2.56628635,3.085560111,2.885034694,8.364252419,9.347465627,7.743128679,1.707683754,2.609752717,5.518095431,4.65669297,6.095302112,8.714445736,9.254059072,2.203160726,4.385976504,5.966617788,5.336621912,6.301063016,5.324593343,7.175859508,7.911923588,2.706135587,5.98227983,6.628358419,7.382074114,2.898233838,1.002337065,3.40084392,0
5.672523902,1.701224897,1.140491033,8.383348147,3.244377005,6.451970111,2.96563557,3.337631275,8.472492943,1.554433802,9.871436252,6.678799378,4.977551954,8.319515911,2.755544746,7.04779895,6.106441951,6.229766703,6.515608161,2.490129366,4.131566009,2.612365336,8.301702611,6.597841203,3.896298791,9.018378073,1.890067891,5.199941689,8.020123976,8.197285086,4.866906477,9.647486004,9.696854053,5.535270681,2.16869085,4.392984863,4.432335392,3.878537735,7.911750563,5.779616214,1.219789448,2.987824927,2.411441465,0
7.26286388,2.558104404,5.381524394,7.884341708,3.54429893,6.642479933,3.073544972,8.99133648,2.906470587,4.854515708,6.743995771,5.570874575,6.111037223,4.127881021,7.173380553,9.433013503,7.275336976,3.153296839,8.632317748,5.022767396,7.361444645,9.639052577,1.79935928,2.677180972,4.403347736,6.04220354,9.95599367,7.505480918,6.840463141,7.599747413,1.751069707,7.687896556,9.823603591,2.514923158,9.475328321,1.528903532,2.553137891,2.241631245,6.99677263,4.077040343,6.324889509,5.05114265,2.609438952,0
1.960870674,4.824064072,7.352265706,3.451392717,9.253773459,6.768830907,6.605522502,5.183157476,4.543920087,3.409216265,5.336489983,9.885286144,3.890544733,8.902723115,8.446753741,8.867004566,6.680129135,9.968627812,8.230763411,6.882128309,4.042717862,2.444816617,8.420349168,9.358735254,7.06700425,8.119073866,5.147815983,2.579919562,2.443460621,3.962848015,1.187053506,6.377660453,6.127566913,3.513948799,5.935102336,9.958456647,2.640225621,8.802654457,1.624293293,7.788198312,4.480233174,7.867966156,2.297665507,1
9.864582372,3.599649813,9.697728999,9.334958691,6.153786172,2.671189697,8.138589184,9.407246682,5.612874545,2.878245879,9.92431293,7.636995588,3.884174305,1.407820732,1.084045375,9.012673351,3.345290394,4.112233132,8.111023589,1.125579837,4.098549185,8.47531935,5.723746253,3.013070261,7.4434356,3.279865823,5.788260948,8.826159788,7.340756152,1.091924264,7.923221989,3.07400374,7.310601224,1.227152973,2.946475497,2.537502802,3.864009101,9.327628646,2.276749015,5.304004678,4.406069057,3.873125473,1.526630102,0
6.695778225,1.174392541,5.456930105,8.246123041,3.619328154,4.09020751,1.416212658,9.825630231,6.572383156,3.202080475,6.257678583,9.016060523,4.164909597,5.243181718,7.331432225,4.412631584,3.381199029,9.30944212,6.598166676,3.388659381,6.49086944,2.035289735,3.863440418,7.97730348,8.387655747,2.052637149,6.406569989,4.805403796,1.610421473,5.45362627,4.106853296,2.152362319,3.044314696,5.845073146,4.872571223,8.423647608,6.052160138,6.768517877,4.101461072,5.061785399,7.269196627,9.740771777,8.586961992,1
6.453264428,7.647627341,8.012888752,2.536874127,9.269843231,5.016037627,1.185612244,2.22325592,3.398040578,2.673784367,8.47143533,7.086900114,3.167897638,8.57176871,7.147329698,7.845565283,7.189119081,5.173997026,2.086082606,7.425346408,1.208600761,8.866592478,6.890910252,4.098163143,5.293336247,1.436674147,3.846394699,6.092967837,4.674428577,4.850784581,6.437919661,8.485769056,7.651966856,2.414847891,8.779532024,1.81222756,9.854169055,2.916599835,5.084023462,4.012954375,5.907629908,1.578181394,8.933615344,0
8.87414772,9.09162544,5.54719195,3.986846758,7.001531222,5.262465787,7.692790053,1.682904314,6.328407569,2.155605734,1.034050297,7.025343601,8.555121231,2.787200826,1.632488428,3.004223201,6.391059913,2.055075875,1.616889522,1.063615156,6.244864398,3.416051258,3.712854012,8.100339003,8.803028634,4.295199142,8.407754774,3.826742588,1.08951352,9.1817036,1.776493874,9.509875449,3.037756114,9.206988835,3.53764197,5.518040382,8.100800545,8.393857331,5.013893532,2.841704561,9.299821236,4.091702165,8.186050356,0
7.790371128,9.935012411,1.256025334,7.088868367,3.171086206,9.716996152,7.265753652,9.487525264,3.177595948,5.314911017,3.65017424,3.373228251,3.099209516,6.261449752,7.049281231,2.316124481,9.473449937,5.461468039,5.222502839,8.019855047,7.972289155,2.159268738,5.871437137,6.265403749,4.377161005,4.506290006,6.665423503,3.712182382,1.686068534,3.040104083,7.610817886,5.836124192,3.880859767,2.893241107,4.580233192,6.370150638,9.486178872,1.273321934,7.620458234,6.487947616,2.233862028,6.910849609,6.793319226,1
4.966236716,8.22206355,4.326076656,1.092535972,2.094086751,5.114831575,5.072261756,7.480132976,7.723032669,5.378284323,6.52111483,9.473131219,2.778396681,6.564605982,7.787996663,8.452951289,2.983185907,4.254833217,6.499399692,3.143193649,3.361310411,4.057127179,9.087123173,5.124557253,5.328300885,3.001270427,4.160339356,8.13554743,1.718541737,5.061103859,6.562801465,5.321502269,7.12871618,5.570664204,9.595943999,6.301558261,8.903083611,2.475821149,8.195933254,9.601675156,3.522299764,3.971007406,3.547365273,0
9.173082869,2.829329607,6.450068913,6.271339806,8.850919954,4.57899365,2.53780178,9.554545699,1.13130272,9.903694145,9.27901059,4.867917862,9.915148564,3.707747525,3.853992718,1.301727785,7.977408322,9.300530865,6.524956423,3.352372998,3.702599752,8.771854449,4.980321626,3.479134929,8.725400201,8.242809362,1.387045576,5.714502863,8.685776301,2.982053095,1.640301599,1.863426025,1.126968452,9.499884773,6.216594787,5.901800619,2.023413878,9.856993777,3.541480383,4.772728776,2.423020063,7.089977339,7.285368468,1
9.393541399,4.368951073,4.403463452,1.45949436,4.192110733,9.342415637,1.676456131,4.29325302,4.637145338,1.011457302,2.816070134,2.483494604,2.241511382,3.672230183,4.434998273,7.381795568,1.241564199,7.241997003,5.990162316,3.713187935,7.960667129,8.812340847,4.945986289,5.090297826,9.489697077,2.809774964,3.983912783,3.965005963,8.293729645,6.740217363,3.596365066,2.210036533,7.971127072,6.67711573,4.598483759,3.132112802,9.115166293,3.896680327,5.939228403,1.742826242,8.437441752,6.804306956,1.980300233,1
5.056078476,3.148677018,8.04493883,3.427598953,6.060886599,2.476765182,9.953735244,3.907329483,6.248392039,6.851392387,3.134827349,7.661302989,4.562997716,2.053776342,5.537901376,4.801498962,1.647412826,5.500093836,9.78943496,2.105721301,1.252550607,2.771060987,7.930816551,5.094745128,7.332957565,4.751065492,3.828837248,2.512327677,6.604225122,4.829412609,6.617967396,4.993233797,1.338549917,2.720118822,6.993959485,7.401797232,9.137020297,8.418263417,7.365491364,3.728886208,5.664708698,7.883367729,5.366731574,1
5.517075378,1.947237578,4.53551365,2.670123449,8.797202453,6.303472856,3.173478909,4.096579748,8.51440228,7.628559434,5.719205057,3.435155198,6.183581608,1.883032098,6.073770833,1.169589355,9.162731729,3.577718705,6.864109731,1.638551042,6.874055825,5.69758861,8.776139847,7.867628107,6.54584348,5.370975162,9.520250259,7.303969768,4.779193868,6.423995152,8.206996755,7.027671011,3.164176305,6.924558751,6.795444587,3.151317304,8.004783749,2.437636368,5.921910297,1.540239153,4.675170936,8.634162097,6.267612287,1
7.161384277,5.123155997,1.568914093,4.098302708,4.633500502,7.077766616,5.496623954,5.065945262,5.438302514,5.43535196,3.557768871,5.14532623,8.95472596,6.60039546,1.855711744,1.994228782,4.61000563,7.558829009,2.513392632,4.554251874,6.029337075,7.330892091,1.517900238,4.645301284,7.31986314,5.568245086,1.948224974,1.052807807,2.350383077,2.429187564,6.106120969,5.229432016,2.990476752,3.596852166,3.224244816,8.459856639,9.807649191,4.299770991,6.49141567,1.874060716,7.290004415,3.186072863,1.709157077,0
3.273118888,8.121896949,7.71678264,7.777356318,7.764164585,3.318334938,4.984374154,7.220020021,4.801054575,8.262529918,3.884685685,3.809746951,4.095558955,3.897651747,8.976830763,7.429007931,2.228821535,1.262026522,6.493297738,3.026152645,7.788863144,9.709954803,1.961828088,6.725932399,6.85431263,3.513725192,5.096662846,3.265944499,9.149818719,8.645126759,8.638424289,2.644562691,1.378460472,9.60790228,4.975581748,6.767918672,8.504533818,7.928038915,9.429078733,6.420408259,7.702205592,9.665150292,8.512119827,1
5.533297539,7.796859,6.666542284,2.137344371,7.199804935,8.682182248,1.762888203,7.958916419,1.583583005,5.508198953,9.768600324,2.785027549,4.514938684,2.25547518,8.308690118,9.064925364,8.251516953,5.111595119,5.975360707,4.838660656,3.200086979,5.139963657,6.698908265,6.577427047,9.385803161,7.48752454,2.634004923,3.846581831,8.240594948,7.034213162,4.239979968,1.717499359,7.230594976,4.951554642,9.931384723,5.358918342,8.728925462,3.830567287,9.151327175,5.669613809,9.992500502,4.920571779,9.577673878,0
7.745462638,8.116225996,1.935087983,5.780452939,7.479786334,2.005797538,4.669474896,6.415559533,6.670579176,2.32540029,9.308587798,4.893158653,9.920777928,2.296929738,5.877806414,4.917505649,3.211470177,9.799413176,8.05846283,7.923380151,6.695172112,1.043808479,6.649551827,6.494164158,5.638987889,7.712119156,3.303699114,8.584798965,7.248034135,1.316896215,4.627898713,5.169524588,3.563556466,2.519704369,4.656350196,8.451013452,4.126795792,6.019043034,6.44853126,7.207540453,5.283847524,7.770613521,4.86139216,1
9.02275211,7.860106137,4.924960985,5.206317055,1.770021393,1.398514634,7.235339834,5.40057811,7.516615517,6.062800669,7.345717711,3.417198778,5.609667708,5.710448793,8.409637872,5.016172857,1.915846319,1.325515344,7.561926019,9.907329103,5.789379767,7.465731789,3.633573059,8.612843077,9.430972008,7.006192695,4.612940873,5.577266868,8.794018777,7.856712818,4.098411279,6.71231021,8.580751545,2.322550433,6.50142457,2.702919045,1.87531291,1.868066057,8.142993046,4.147250632,2.811915924,3.168646446,7.877820171,0
5.837792411,2.995005052,4.047230354,3.739796013,2.948180221,2.649871757,4.887574338,6.747445522,4.648648076,2.267622939,2.395192908,4.553353948,1.521404818,6.904454153,8.446344082,2.886639924,3.117285641,7.613434651,3.564707824,3.669891019,7.408115504,7.749523517,3.109808484,5.83413904,2.292311475,4.08302133,8.231784062,4.976733704,6.640443198,2.476903675,7.125649084,7.392182714,4.374888661,4.20489302,5.033509433,9.352794433,6.289036433,4.461944234,4.143484905,7.877695568,6.139369355,8.548586076,1.05093808,1
6.205357121,2.161924876,5.079667777,2.53522701,2.992679276,7.940477006,5.743297712,1.95065625,2.062891104,3.911806102,8.254583408,3.844018304,3.279563201,6.908908991,7.432423034,9.564349955,6.061527982,7.263059496,5.061744686,5.390164454,3.9193915,1.20308419,9.750257855,1.775968762,8.78508792,5.015401861,3.933641232,3.203792699,3.445425017,8.389442756,9.125643605,3.245729933,3.43069466,6.48701686,7.249447436,4.560707427,3.644416612,5.448132246,7.668599788,3.402703479,3.329130185,6.642735207,1.396141106,1
3.311877802,9.624943789,5.074023555,4.601829298,4.541464328,7.925226465,6.775984671,5.070259463,3.127829981,2.300361571,3.475361255,7.213412563,4.666328185,1.893473343,6.741767417,1.503511607,3.981360929,6.493965088,3.133372309,8.486336807,2.166396295,1.379355436,1.651595208,1.487738075,8.274542206,7.267262362,3.937219304,4.988660153,3.380874262,6.34471835,9.797205034,1.264286013,5.578787783,3.351474518,2.746442562,9.538086666,5.801441456,1.034971817,5.370540889,8.49666543,2.285135274,9.183918945,6.916815719,1
4.064464542,5.019365917,9.985554503,9.085790668,4.277508253,3.691832609,1.795753111,2.018234654,1.498641652,5.163691857,8.418252438,3.02091447,5.154715445,9.73780454,2.642712947,7.919493984,6.105313745,1.232401793,2.088138917,3.225179668,2.998458305,2.531421875,8.850607102,4.303425813,4.537564138,8.657133396,6.853223518,3.539293888,6.971517253,6.62564619,5.575701919,4.751082918,9.53715834,6.767795692,5.31680466,3.923498613,7.917437214,9.460683813,8.354892252,3.941847058,9.319161766,1.732636001,8.972895831,0
6.26708836,6.015383736,1.098983299,4.761580242,5.837430652,8.140114286,6.737736913,8.50930202,5.726225447,8.197114517,7.840461173,9.839103505,8.179549597,4.158726531,1.106907176,5.238688962,3.328157593,4.250470578,6.482966374,1.800562554,3.601941985,6.747726031,5.702638925,4.063797444,8.063472505,8.304545882,3.098303006,9.924681583,9.064466711,8.600343136,4.858314092,1.973556294,1.9198391,3.895833778,8.049088703,8.075571146,7.825639253,4.722676712,9.593154076,9.922163933,7.123201547,1.690849795,2.840199762,0
9.198821313,3.677745421,5.611207223,7.685665524,8.561216059,9.434537547,9.439515375,4.936472365,7.609611187,4.254142201,7.923177027,2.366739158,8.36486176,6.451787213,7.375283932,8.547105587,2.368879967,8.916276505,6.510019526,7.53495892,9.645982336,8.058456371,7.445670568,4.612187451,8.445381346,3.628124947,8.82439507,6.247005141,5.873592576,1.259949915,3.713081204,7.614908846,1.972060746,9.298695601,2.538804844,5.617517053,6.620462518,6.69881383,9.995921631,6.866383981,1.751329182,9.174337793,5.214872753,1
7.227846317,1.447051917,9.032592585,1.078411634,7.311185719,6.380035076,1.933781469,6.487723699,8.114741301,4.844122041,7.497087747,3.465393522,7.026043144,9.052550054,3.120976892,9.955115622,8.516991962,1.984394225,9.799048913,6.811589323,5.936288951,6.714105012,9.204232618,9.351700419,5.745283313,2.9133598,3.028545041,8.316762529,9.848430362,6.289614633,8.829822736,9.301009138,4.820839119,1.867543205,6.066346708,8.724138376,8.260989327,9.62586518,9.14932565,7.789373244,7.721645162,5.992914565,3.688662102,1
8.43605074,8.49185358,3.650602039,4.871921471,1.403040951,5.153374619,7.491023612,1.469427227,3.341518264,2.474081982,9.220613721,5.707252997,9.519168451,6.098324338,8.647845793,1.958127955,2.570791939,8.25587281,5.407013531,8.801447691,9.612397968,1.145044477,4.558410199,9.895395299,2.797351994,8.987971554,3.143178755,9.010618685,7.655935445,8.540877987,9.60084613,4.742921852,2.970770163,9.71070865,1.713015898,4.914630093,2.965079864,9.80108412,9.455584807,3.941196616,5.496538944,4.418899664,8.931561658,0
1.690332543,7.585334955,6.183465559,6.706725748,9.452891572,3.041077214,8.505545578,9.856771623,5.255049893,1.596417311,4.799038971,3.7676799,5.858005443,5.960164535,4.74573186,8.050975135,9.979324509,1.543529199,2.036452382,4.808697754,9.242285663,9.40483303,2.066981513,9.759238833,5.835675203,2.718150112,8.843596113,3.753372973,4.164477386,9.960983571,8.687517907,1.27670066,2.689195291,2.233397599,3.966076039,4.81349536,6.050209765,1.389760074,9.155841557,2.791664459,1.9342553,2.162863397,3.601346865,0
7.708514652,3.005133083,4.060178024,8.811923506,1.161392189,4.572045127,8.274323825,7.257121675,2.204964074,4.75215957,3.803150881,4.38202327,4.986862021,1.656753211,5.76672235,5.155694374,6.704725568,1.269907565,4.720575849,1.011496339,9.658109264,3.973122761,6.983575083,7.871811563,3.891778586,4.911266468,6.233429578,6.268988408,8.20687388,4.91193802,8.032779271,2.842350721,2.063238921,9.552006725,6.669349585,3.090064001,3.757147964,3.421621201,9.211922749,4.528252224,2.932132751,8.144778061,1.330203321,1
2.76752745,7.107803168,8.41914284,5.739756837,8.629632028,8.493174484,3.52728828,6.725009078,3.306981692,1.934253721,1.335920236,6.529447414,4.190917057,4.64191691,3.040049557,2.695840276,1.541890606,2.587303404,9.709194323,1.439775172,1.724777422,8.300972948,9.574486981,4.980523759,7.574772012,9.426880046,7.2912898,7.836737945,7.545276368,5.609500095,5.99980254,1.46305584,7.02750443,5.560986404,5.622344988,6.598250641,5.722495412,8.697125147,2.325431406,7.2429073,5.663261019,4.206233926,5.720969105,0
